name,area,sports,setting,verified
Padel In — Aspire Zone,Aspire Zone (Al Waab),padel,indoor,confirmed
Padel In — City Center Doha,West Bay / Al Dafna,padel,indoor,confirmed
Padel In — Al Khor,Al Khor,padel,indoor,confirmed
The Dome (Education City Golf Club),Education City (Al Rayyan),padel,indoor,confirmed
Doha Oasis Padel,Msheireb,padel,indoor,confirmed
Padel 91 West Walk,West Walk (Al Waab),padel,indoor,confirmed
Padel Up (J-Mall rooftop),Al Markhiya,padel,rooftop,confirmed
Padel Garden (Katara Hills),Katara,padel,outdoor,confirmed
14/Love (The Gate Mall rooftop),West Bay,padel,rooftop,confirmed
Sheraton Grand Doha padel courts,Al Dafna (West Bay),padel,outdoor,confirmed
La Pelota Padel Club,Doha,padel,outdoor,confirm-area
Khalifa Int'l Tennis & Squash Complex,West Bay / Al Dafna,tennis,outdoor,confirmed
Al Dana Club — Indoor Tennis,Doha,tennis,indoor,confirm-area
West Bay Tennis Club,West Bay,tennis,indoor+outdoor,confirmed
Sheraton Grand Doha — Indoor Tennis,Al Dafna (West Bay),tennis,indoor,confirmed
Al Bidda Park — Tennis Courts,Al Bidda / Corniche,tennis,outdoor,confirmed
Education City — Tennis Courts (Clubhouse),Education City (Al Rayyan),tennis,outdoor,confirmed
Marsa Malaz Kempinski,The Pearl-Qatar,tennis,outdoor,confirmed
Radisson Blu — Cabana Club,Al Muntazah,tennis,outdoor,confirm-area
The Diplomatic Club,Al Dafna (West Bay),tennis,outdoor,confirmed
Aspire Tennis Courts,Aspire Zone (Al Waab),tennis,outdoor,confirmed
Aspire Dome,Aspire Zone (Al Waab),tennis,indoor,confirmed
Dynamic Sports Academy,Ain Khaled,badminton,indoor,confirm-area
Accelerate Sports,Doha,badminton,indoor,confirm-area
Green Stadium Qatar,Doha,badminton,indoor,confirm-area
Feathers Badminton Al Khor,Al Khor,badminton,indoor,confirmed
Prime Sports Center,Doha,badminton,indoor,confirm-area
